# Trinity PE 2949 AOB / offset manifest
# generated by tools/audit/pe2949_audit.py from the current source tree
# format: <file>:<line>:<kind>	<symbol>	<pattern|value>

src/game/offsets.h:538:offset	kOff_TableResolver_MovGlobal	0x14
src/game/offsets.h:546:offset	kOff_LvlRow_BucketCount	0x20
src/game/offsets.h:547:offset	kOff_LvlRow_Size	0x24
src/game/offsets.h:548:offset	kOff_LvlRow_Buckets	0x30
src/game/offsets.h:549:offset	kOff_LvlRow_Entries	0x38
src/game/offsets.h:552:offset	kOff_LvlBucket_Pairs	0x08
src/game/offsets.h:554:offset	kOff_LvlEntry_Name	0x10
src/game/offsets.h:555:offset	kOff_LvlEntry_IsSector	0x18
src/game/offsets.h:556:offset	kOff_LvlEntry_Box	0x1C
src/game/offsets.h:559:sig	kSig_MarkerPattern	C5 FB 10 07 C5 FB 11 02 8B 47 08 89 42 08
src/game/offsets.h:563:sig	kSig_MarkerOriginPrefix	C5 F8 5C 05
src/game/offsets.h:567:sig	kSig_MarkerPlayer	48 8B 06 C5 F8 11 88 B0 01 00 00
src/game/offsets.h:570:sig	kSig_MarkerProtection	48 8B 46 08 48 89 F1
src/game/offsets.h:573:offset	kOff_Player_Dest0	0x90
src/game/offsets.h:574:offset	kOff_Player_Dest1	0x1A0
src/game/offsets.h:590:sig	kSig_InvGetItemQty	66 89 54 24 10 53 57 48 83 EC 28 0F B7 DA
src/game/offsets.h:592:sig	kSig_InvGetItemQty_Legacy	48 89 5C 24 ? 48 89 6C 24 ? 48 89 74 24 ? 57 48 83 EC 20 49 8B E8 0F B7 DA
src/game/offsets.h:594:sig	kSig_InvGetHolder	40 53 48 83 EC 20 48 8B 41 68 48 8B D9 48 8B 48 20 0F B7 41 30
src/game/offsets.h:628:sig	kSig_InvSetExpandSlots	48 89 5C 24 ? 56 48 83 EC 20 48 8B 41 ? 48 8B F2 8B 49
src/game/offsets.h:633:sig	kSig_InvSetExpandSlots2949	48 89 6C 24 ? 48 89 74 24 ? 48 89 7C 24 ? 41 56 48 83 EC 20 48 8B 41 18 41 0F B7 E9 8B 49 20 4C 8B F2 4C 8D 14 C8
src/game/offsets.h:639:offset	kInvPickupCapacityPatchSize	2
src/game/offsets.h:640:bytes	kInvPickupCapacityOriginal	{ 0x74, 0x07 }
src/game/offsets.h:641:bytes	kInvPickupCapacityEnabled	{ 0x90, 0x90 }
